2023-09-29 17:05:22.594 [info] Log level: Info
2023-09-29 17:05:22.594 [info] Validating found git in: "git"
2023-09-29 17:05:22.594 [info] Using git "2.34.1" from "git"
2023-09-29 17:05:22.594 [info] > git rev-parse --show-toplevel [38ms]
2023-09-29 17:05:22.594 [info] > git rev-parse --show-toplevel [5ms]
2023-09-29 17:09:34.539 [info] > git rev-parse --show-toplevel [43ms]
2023-09-29 17:10:09.266 [info] > git rev-parse --show-toplevel [15ms]
2023-09-29 17:10:12.210 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 17:10:35.379 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 17:12:20.437 [info] > git rev-parse --show-toplevel [37ms]
2023-09-29 17:12:32.387 [info] > git rev-parse --show-toplevel [2ms]
2023-09-29 17:13:19.433 [info] > git rev-parse --show-toplevel [23ms]
2023-09-29 17:13:21.679 [info] > git rev-parse --show-toplevel [3ms]
2023-09-29 17:13:34.895 [info] > git rev-parse --show-toplevel [11ms]
2023-09-29 17:13:38.980 [info] > git rev-parse --show-toplevel [3ms]
2023-09-29 17:13:40.313 [info] > git rev-parse --show-toplevel [5ms]
2023-09-29 17:13:40.326 [info] > git rev-parse --show-toplevel [5ms]
