2023-10-03 15:16:09.962 [info] Log level: Info
2023-10-03 15:16:09.962 [info] Validating found git in: "git"
2023-10-03 15:16:09.962 [info] Using git "2.34.1" from "git"
2023-10-03 15:16:09.962 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 15:16:09.962 [info] > git rev-parse --show-toplevel [12ms]
2023-10-03 15:16:23.303 [info] > git rev-parse --show-toplevel [2ms]
2023-10-03 15:19:02.832 [info] > git rev-parse --show-toplevel [6ms]
2023-10-03 15:19:18.237 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 15:19:21.938 [info] > git rev-parse --show-toplevel [11ms]
2023-10-03 15:19:26.445 [info] > git rev-parse --show-toplevel [3ms]
2023-10-03 15:20:48.890 [info] > git rev-parse --show-toplevel [8ms]
2023-10-03 15:27:08.732 [info] > git rev-parse --show-toplevel [7ms]
2023-10-03 15:27:10.628 [info] > git rev-parse --show-toplevel [9ms]
2023-10-03 15:27:14.225 [info] > git rev-parse --show-toplevel [5ms]
2023-10-03 15:29:17.900 [info] > git rev-parse --show-toplevel [3ms]
