2023-10-01 15:41:38.112 [info] Log level: Info
2023-10-01 15:41:38.112 [info] Validating found git in: "git"
2023-10-01 15:41:38.112 [info] Using git "2.34.1" from "git"
2023-10-01 15:41:38.112 [info] > git rev-parse --show-toplevel [38ms]
2023-10-01 15:41:38.112 [info] > git rev-parse --show-toplevel [5ms]
2023-10-01 15:43:41.078 [info] > git rev-parse --show-toplevel [4ms]
2023-10-01 15:43:41.711 [info] > git rev-parse --show-toplevel [28ms]
2023-10-01 15:54:24.508 [info] > git rev-parse --show-toplevel [1ms]
2023-10-01 15:56:10.352 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 15:56:27.278 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 15:56:32.295 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:03:33.149 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:09:45.893 [info] > git rev-parse --show-toplevel [4ms]
2023-10-01 16:10:23.341 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:13:12.336 [info] > git rev-parse --show-toplevel [5ms]
2023-10-01 16:13:23.846 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:13:25.773 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:13:29.447 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:17:07.444 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:21:59.656 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 16:56:22.498 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 17:05:01.321 [info] > git rev-parse --show-toplevel [5ms]
2023-10-01 17:05:03.025 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 17:05:55.918 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 17:06:37.699 [info] > git rev-parse --show-toplevel [1ms]
2023-10-01 17:07:21.581 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 17:07:34.300 [info] > git rev-parse --show-toplevel [2ms]
