2023-10-05 11:15:53.999 [info] Log level: Info
2023-10-05 11:15:53.999 [info] Validating found git in: "git"
2023-10-05 11:15:53.999 [info] Using git "2.34.1" from "git"
2023-10-05 11:15:53.999 [info] > git rev-parse --show-toplevel [20ms]
2023-10-05 11:15:53.999 [info] > git rev-parse --show-toplevel [6ms]
2023-10-05 11:37:48.664 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 11:38:02.678 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 11:38:22.415 [info] > git rev-parse --show-toplevel [10ms]
2023-10-05 11:38:27.563 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:38:31.314 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:38:41.494 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 11:38:47.616 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:39:09.706 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 11:39:16.516 [info] > git rev-parse --show-toplevel [4ms]
2023-10-05 11:41:29.292 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:42:01.044 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 11:42:01.447 [info] > git rev-parse --show-toplevel [12ms]
2023-10-05 11:45:32.876 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 11:45:46.039 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 11:47:00.596 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 11:47:09.431 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:47:50.359 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 11:49:09.161 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:49:17.976 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 11:49:19.814 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 11:49:23.562 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:51:43.416 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:52:17.124 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 11:56:18.623 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 11:56:20.129 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:12:59.942 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:13:52.589 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 12:13:58.389 [info] > git rev-parse --show-toplevel [17ms]
2023-10-05 12:14:07.639 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:14:19.599 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 12:14:25.061 [info] > git rev-parse --show-toplevel [9ms]
2023-10-05 12:20:13.796 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:20:15.313 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 12:20:17.809 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 12:20:35.830 [info] > git rev-parse --show-toplevel [9ms]
2023-10-05 12:20:37.639 [info] > git rev-parse --show-toplevel [7ms]
2023-10-05 12:20:48.669 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:20:57.754 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:21:02.841 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 12:21:10.919 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 12:21:42.215 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:21:52.801 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:26:03.923 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 12:28:06.287 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 12:29:07.666 [info] > git rev-parse --show-toplevel [9ms]
2023-10-05 12:31:45.093 [info] > git rev-parse --show-toplevel [4ms]
2023-10-05 12:33:20.598 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 12:34:21.204 [info] > git rev-parse --show-toplevel [7ms]
2023-10-05 12:34:50.047 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 12:34:56.259 [info] > git rev-parse --show-toplevel [6ms]
2023-10-05 12:34:59.863 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 12:41:43.161 [info] > git rev-parse --show-toplevel [4ms]
2023-10-05 12:51:35.024 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 12:52:18.573 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 12:53:14.230 [info] > git rev-parse --show-toplevel [8ms]
2023-10-05 12:56:01.786 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:23:07.894 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:23:08.910 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:25:45.996 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:25:48.418 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:27:47.848 [info] > git rev-parse --show-toplevel [6ms]
2023-10-05 13:29:15.977 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:37:34.652 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 13:37:40.077 [info] > git rev-parse --show-toplevel [4ms]
2023-10-05 13:37:41.280 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 13:40:28.266 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:42:01.712 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 13:42:24.844 [info] > git rev-parse --show-toplevel [4ms]
2023-10-05 13:42:30.255 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:42:31.048 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:42:35.293 [info] > git rev-parse --show-toplevel [1ms]
2023-10-05 13:42:35.952 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 13:42:45.614 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:42:46.951 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:43:13.708 [info] > git rev-parse --show-toplevel [10ms]
2023-10-05 13:43:16.440 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:43:22.435 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:47:18.899 [info] > git rev-parse --show-toplevel [4ms]
2023-10-05 13:47:20.482 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:49:27.591 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:53:05.152 [info] > git rev-parse --show-toplevel [8ms]
2023-10-05 13:53:20.238 [info] > git rev-parse --show-toplevel [2ms]
2023-10-05 13:53:50.135 [info] > git rev-parse --show-toplevel [4ms]
2023-10-05 13:54:35.960 [info] > git rev-parse --show-toplevel [5ms]
2023-10-05 13:55:36.627 [info] > git rev-parse --show-toplevel [3ms]
2023-10-05 13:56:58.108 [info] > git rev-parse --show-toplevel [1ms]
