2023-10-01 12:24:12.473 [info] Log level: Info
2023-10-01 12:24:12.473 [info] Validating found git in: "git"
2023-10-01 12:24:12.473 [info] Using git "2.34.1" from "git"
2023-10-01 12:24:12.473 [info] > git rev-parse --show-toplevel [32ms]
2023-10-01 12:24:12.473 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:26:55.199 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:27:03.333 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:28:38.343 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:29:21.269 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:33:31.749 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:33:33.213 [info] > git rev-parse --show-toplevel [11ms]
2023-10-01 12:33:35.560 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 12:33:59.993 [info] > git rev-parse --show-toplevel [11ms]
2023-10-01 12:51:44.743 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 12:51:56.610 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 12:55:38.263 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:55:44.514 [info] > git rev-parse --show-toplevel [6ms]
2023-10-01 12:57:01.218 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:58:22.533 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:58:29.398 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 12:58:53.750 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:58:54.315 [info] > git rev-parse --show-toplevel [7ms]
2023-10-01 12:58:59.854 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:59:10.210 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 12:59:23.919 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 13:01:50.436 [info] > git rev-parse --show-toplevel [1ms]
2023-10-01 13:02:26.235 [info] > git rev-parse --show-toplevel [5ms]
2023-10-01 13:02:31.138 [info] > git rev-parse --show-toplevel [4ms]
2023-10-01 13:02:34.147 [info] > git rev-parse --show-toplevel [4ms]
2023-10-01 13:02:34.619 [info] > git rev-parse --show-toplevel [9ms]
2023-10-01 13:05:41.969 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 13:07:31.042 [info] > git rev-parse --show-toplevel [4ms]
2023-10-01 13:11:11.965 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 13:13:34.503 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 13:14:42.124 [info] > git rev-parse --show-toplevel [2ms]
2023-10-01 13:14:58.323 [info] > git rev-parse --show-toplevel [3ms]
2023-10-01 13:15:02.170 [info] > git rev-parse --show-toplevel [11ms]
2023-10-01 13:15:06.079 [info] > git rev-parse --show-toplevel [13ms]
2023-10-01 13:15:06.660 [info] > git rev-parse --show-toplevel [6ms]
2023-10-01 13:16:10.369 [info] > git rev-parse --show-toplevel [2ms]
